"filename", "language", "C++", "comment", "blank", "total"
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\src\Caelis Chaos.cpp", "C++", 32, 0, 8, 40
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\src\TobiGameEngine\RTS-utilities\Entity.cpp", "C++", 0, 0, 3, 3
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\src\TobiGameEngine\TobiGameEngine.h", "C++", 10, 0, 1, 11
"Total", "-", 42, 0, 12, 54
