"filename", "language", "C++", "C", "Log", "Lua", "CMake", "XML", "Shell Script", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_opengles2_gl2.h", "C++", 625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 11, 657
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_opengles2_gl2ext.h", "C++", 3694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 321, 4034
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_opengles2_gl2platform.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 28
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_opengles2_khrplatform.h", "C++", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 30, 312
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_pixels.h", "C++", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 289, 44, 663
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_platform.h", "C++", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 22, 268
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_power.h", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 10, 88
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_quit.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 8, 59
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_rect.h", "C++", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 34, 377
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_render.h", "C++", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1569, 105, 1925
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_revision.h", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_rwops.h", "C++", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 669, 55, 842
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_scancode.h", "C++", 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 38, 439
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_sensor.h", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 32, 323
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_shape.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 16, 156
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_stdinc.h", "C++", 600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 77, 845
